entry_group,file_path,line_number,reference_kind,previous_path,current_path,status,note
default_inference,/root/autodl-tmp/code/config.py,18,ConfigManager.MODEL_PATH,/root/autodl-tmp/train_output,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,switched_to_stage4_fix,default runtime model path
demo_entry,/root/autodl-tmp/code/app_fixed.py,2231,sidebar_model_map.Qwen-Sparse-LoRA-v2,/root/autodl-tmp/model_merged_sparse_v2,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,switched_to_stage4_fix,Streamlit sparse model choice
demo_entry,/root/autodl-tmp/code/app_fixed.py,2238,sidebar_model_fallback,/root/autodl-tmp/model_merged_sparse_v2,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,switched_to_stage4_fix,Streamlit sparse fallback path
main_experiment,/root/autodl-tmp/validate_sparse_v2.py,99,argparse_default_model_path,/root/autodl-tmp/model_merged_sparse_v2,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,switched_to_stage4_fix,default sparse validation entry
main_experiment,/root/autodl-tmp/validate_sparse_v2_strict.py,32,argparse_default_model_path,/root/autodl-tmp/model_merged_sparse_v2,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,switched_to_stage4_fix,default strict sparse validation entry
main_experiment,/root/autodl-tmp/train_gat_v2.py,207,argparse_default_model_path,/root/autodl-tmp/model_merged_sparse_v2,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,switched_to_stage4_fix,GAT-v2 teacher sparse model
main_experiment,/root/autodl-tmp/validate_gat_v2.py,124,argparse_default_model_path,/root/autodl-tmp/model_merged_sparse_v2,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,switched_to_stage4_fix,GAT-v2 held-out validation teacher
main_experiment,/root/autodl-tmp/audit_sparse_v2_consistency.py,231,argparse_default_merged_path,/root/autodl-tmp/model_merged_sparse_v2,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,switched_to_stage4_fix,consistency audit merged model
main_experiment,/root/autodl-tmp/audit_sparse_v2_consistency.py,350,path_consistency.validation_script_model_path,/root/autodl-tmp/model_merged_sparse_v2,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,switched_to_stage4_fix,consistency report reference
main_experiment,/root/autodl-tmp/audit_sparse_v2_consistency.py,369,file_hash_reference.chat_template,/root/autodl-tmp/model_merged_sparse_v2/chat_template.jinja,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix/chat_template.jinja,switched_to_stage4_fix,tokenizer artifact audit
main_experiment,/root/autodl-tmp/audit_sparse_v2_consistency.py,371,file_hash_reference.tokenizer_json,/root/autodl-tmp/model_merged_sparse_v2/tokenizer.json,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix/tokenizer.json,switched_to_stage4_fix,tokenizer artifact audit
main_experiment,/root/autodl-tmp/audit_sparse_v2_consistency.py,373,file_hash_reference.tokenizer_config,/root/autodl-tmp/model_merged_sparse_v2/tokenizer_config.json,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix/tokenizer_config.json,switched_to_stage4_fix,tokenizer artifact audit
paper_table,/root/autodl-tmp/results/paper_ready,0,model_path_search,none,none,audited_no_explicit_model_path_reference,no explicit stage4 model path found in paper-ready outputs
paper_table,/root/autodl-tmp/results/final_tables,0,model_path_search,none,none,audited_no_explicit_model_path_reference,no explicit stage4 model path found in final tables outputs
