scenario,method,path_cost,path_len,constraint_rate,planning_ms,plan_ms,init_ms,infer_ms,smooth_ms,sim_ms,total_ms,timing_info,timing_info_json,cold_start,warm_start,warmup_excluded,parsed_edges,parsed_edge_ratio,signal_edges,signal_ratio,default_edges,coverage,time_s,sumo_time,total_edges
场景A 黄河路单向拥堵,Dijkstra,5.0,5,50.0,0.07,0.07,0.0,0.0,0.0,1979.5,1979.57,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1979.57, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1979.57, ""cold_start"": true}",True,False,True,0,0.0,0,0.0,96,0.0,0.0,623.9,96
场景A 黄河路单向拥堵,Rule-A*,16.0,6,100.0,0.06,0.06,0.0,0.0,0.0,1836.83,1836.9,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1836.9, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1836.9, ""cold_start"": true}",True,False,True,96,100.0,88,91.7,8,91.7,0.0,436.8,96
场景A 黄河路单向拥堵,DQN,32.6,14,100.0,0.07,0.07,0.0,0.0,0.0,2034.54,2034.61,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2034.61, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2034.61, ""cold_start"": true}",True,False,True,96,100.0,88,91.7,8,91.7,0.0,811.8,96
场景A 黄河路单向拥堵,GCN-Weight,16.4,6,100.0,0.06,0.06,0.0,0.0,0.0,1842.53,1842.59,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1842.59, 'cold_start': True}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1842.59, ""cold_start"": true}",True,False,True,96,100.0,70,72.9,26,72.9,0.0,436.8,96
场景B 花园路封闭绕行,Dijkstra,4.0,4,60.0,0.04,0.04,0.0,0.0,0.0,2487.14,2487.18,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2487.18, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2487.18, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,1685.0,96
场景B 花园路封闭绕行,Rule-A*,16.5,5,100.0,0.04,0.04,0.0,0.0,0.0,2225.36,2225.41,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2225.41, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2225.41, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,708.4,96
场景B 花园路封闭绕行,DQN,62.6,26,100.0,0.05,0.05,0.0,0.0,0.0,2882.64,2882.69,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2882.69, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2882.69, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,1865.2,96
场景B 花园路封闭绕行,GCN-Weight,16.3,5,100.0,0.05,0.05,0.0,0.0,0.0,2109.54,2109.59,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2109.59, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2109.59, ""cold_start"": false}",False,True,True,96,100.0,70,72.9,26,72.9,0.0,708.4,96
场景C 多路段复合拥堵,Dijkstra,8.0,8,0.0,0.08,0.08,0.0,0.0,0.0,2159.85,2159.93,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2159.93, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2159.93, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,649.8,96
场景C 多路段复合拥堵,Rule-A*,17.2,8,28.6,0.07,0.07,0.0,0.0,0.0,1973.25,1973.32,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1973.32, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1973.32, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,544.6,96
场景C 多路段复合拥堵,DQN,10.0,4,28.6,0.08,0.08,0.0,0.0,0.0,1750.75,1750.83,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1750.83, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1750.83, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,268.2,96
场景C 多路段复合拥堵,GCN-Weight,14.75,8,28.6,0.08,0.08,0.0,0.0,0.0,1884.72,1884.79,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1884.79, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1884.79, ""cold_start"": false}",False,True,True,96,100.0,70,72.9,26,72.9,0.0,533.6,96
场景D 中央核心节点封锁（强迫大范围绕行）,Dijkstra,8.0,8,26.7,0.08,0.08,0.0,0.0,0.0,1995.41,1995.48,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1995.48, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1995.48, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,536.5,96
场景D 中央核心节点封锁（强迫大范围绕行）,Rule-A*,17.6,8,46.7,0.08,0.08,0.0,0.0,0.0,1863.11,1863.18,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1863.18, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1863.18, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,490.4,96
场景D 中央核心节点封锁（强迫大范围绕行）,DQN,10.0,4,46.7,0.08,0.08,0.0,0.0,0.0,1744.75,1744.83,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1744.83, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1744.83, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,268.2,96
场景D 中央核心节点封锁（强迫大范围绕行）,GCN-Weight,15.95,8,46.7,0.08,0.08,0.0,0.0,0.0,1985.09,1985.16,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1985.16, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1985.16, ""cold_start"": false}",False,True,True,96,100.0,70,72.9,26,72.9,0.0,682.2,96
场景E 不对称方向拥堵（测试模型方向提取能力）,Dijkstra,5.0,5,36.4,0.05,0.05,0.0,0.0,0.0,2011.97,2012.02,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2012.02, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2012.02, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,773.7,96
场景E 不对称方向拥堵（测试模型方向提取能力）,Rule-A*,21.2,8,72.7,0.07,0.07,0.0,0.0,0.0,1874.54,1874.61,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1874.61, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1874.61, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,454.6,96
场景E 不对称方向拥堵（测试模型方向提取能力）,DQN,33.7,15,72.7,0.07,0.07,0.0,0.0,0.0,2072.01,2072.08,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2072.08, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2072.08, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,889.0,96
场景E 不对称方向拥堵（测试模型方向提取能力）,GCN-Weight,17.45,6,72.7,0.06,0.06,0.0,0.0,0.0,1834.68,1834.74,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1834.74, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1834.74, ""cold_start"": false}",False,True,True,96,100.0,68,70.8,28,70.8,0.0,394.1,96
场景F 大规模复合灾害（极限压力测试）,Dijkstra,8.0,8,21.4,0.07,0.07,0.0,0.0,0.0,1875.49,1875.56,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1875.56, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1875.56, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,446.5,96
场景F 大规模复合灾害（极限压力测试）,Rule-A*,12.8,8,21.4,0.07,0.07,0.0,0.0,0.0,1872.84,1872.9,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1872.9, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1872.9, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,446.5,96
场景F 大规模复合灾害（极限压力测试）,DQN,15.8,10,21.4,0.07,0.07,0.0,0.0,0.0,1926.37,1926.44,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1926.44, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1926.44, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,529.7,96
场景F 大规模复合灾害（极限压力测试）,GCN-Weight,15.95,8,21.4,0.07,0.07,0.0,0.0,0.0,1964.54,1964.62,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1964.62, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1964.62, ""cold_start"": false}",False,True,True,96,100.0,68,70.8,28,70.8,0.0,682.2,96
